category	mir	disease	pmid	description
lncRNA target	hsa-mir-218	Lung Neoplasms	27212446	miR-218 is negatively regulated by CCAT1 in HBE cells exposed to CSE.
lncRNA target	hsa-mir-143	Neuroblastoma	27263970	Binding and release of miR-143-3p by LncND control the expression of Notch receptors.
lncRNA target	hsa-mir-10a	Glioblastoma	27270310	Long noncoding RNA RP11-838N2.4 enhances the cytotoxic effects of temozolomide by inhibiting the functions of miR-10a in glioblastoma cell lines.
lncRNA target	hsa-mir-299	Glioblastoma	27345398	TUG1 enhances tumor-induced angiogenesis and VEGF expression through inhibiting miR-299.
lncRNA target	hsa-mir-26a	"Carcinoma, Gallbladder"	27345740	Upregulation of MINCR and enhancer of zeste homolog 2 (EZH2) in GBC coincided with the downregulation of miR-26a-5p in GBC.
lncRNA target	hsa-mir-26a	Glioma	27363339	Long non-coding RNA TUG1 acts as a miR-26a sponge in human glioma cells
lncRNA target	hsa-mir-507	Melanoma	27389544	"We found that miR-507 could directly bind to UCA1 at the miRNA recognition site, and that there was a negative correlation between miR-507 and UCA1."
lncRNA target	hsa-mir-139	Glioma	27434586	"HCP5 regulated the malignant behavior of glioma cells by binding to microRNA-139, which functions as a tumor suppressor."
lncRNA target	hsa-mir-34a	"Carcinoma, Nasopharyngeal"	27461945	Long non-coding RNA XIST exerts oncogenic functions in human nasopharyngeal carcinoma by targeting miR-34a-5p
lncRNA target	hsa-mir-373	"Carcinoma, Ovarian"	27484896	LncRNA HOTAIR controls the expression of Rab22a by sponging miR-373 in ovarian cancer.
lncRNA target	hsa-let-7a	Cervical Neoplasms	27487126	LncRNA RSU1P2 contributes to tumorigenesis by acting as a ceRNA against let-7a in cervical cancer cells.
lncRNA target	hsa-mir-125a	Immune Thrombocytopenic Purpura	27522004	Long non-coding RNA MEG3 inhibits microRNA-125a-5p expression and induces immune imbalance of Treg/Th17 in immune thrombocytopenic purpura.
lncRNA target	hsa-mir-34a	Osteoarthritis	27529373	"Furthermore, we found that UFC1 regulates survival of OA chondrocytes through physically association with miR-34a."
lncRNA target	hsa-let-7	Neoplasms [unspecific]	27548809	"We anticipate that much can be learned from the use of this first reported small molecule antagonist of Lin28, including the potential of the Lin28/let-7 interaction as a new drug target for selected cancers"
lncRNA target	hsa-let-7c	"Adenocarcinoma, Lung"	27566568	the oncogenic function of CCAT1 in docetaxel-resistant LAD cells depended on the sponging of let-7c
lncRNA target	hsa-mir-148a	"Carcinoma, Cervical"	27574106	Long non-coding RNA HOTAIR modulates HLA-G expression by absorbing miR-148a in human cervical cancer.
lncRNA target	hsa-mir-196a	"Carcinoma, Bladder"	27591936	Long non-coding RNA UCA1 promotes cisplatin/gemcitabine resistance through CREB modulating miR-196a-5p in bladder cancer cells.
lncRNA target	hsa-mir-140	"Carcinoma, Hepatocellular"	27597739	Long non-coding RNA Unigene56159 promotes epithelial-mesenchymal transition by acting as a ceRNA of miR-140-5p in hepatocellular carcinoma cells.
lncRNA target	hsa-mir-645	Osteosarcoma	27609068	Long non-coding RNA LINC00161 sensitises osteosarcoma cells to cisplatin-induced apoptosis by regulating the miR-645-IFIT2 axis.
lncRNA target	hsa-mir-181b	Liver Cirrhosis	27610008	Identification of a Novel lincRNA-p21-miR-181b-PTEN Signaling Cascade in Liver Fibrosis.
lncRNA target	hsa-mir-18a	"Carcinoma, Breast"	27629141	Long non-coding RNA UCA1 enhances tamoxifen resistance in breast cancer cells through a miR-18a-HIF1¦Á feedback regulatory loop.
lncRNA target	hsa-mir-197	"Carcinoma, Bladder"	27631965	LINC00312 inhibits the migration and invasion of bladder cancer cells by targeting miR-197-3p.
lncRNA target	hsa-mir-193a	"Carcinoma, Colon"	27633443	the involvement of competing endogenous RNAs mechanism in Linc00152/miR-193a-3p/ERBB4/AKT signaling axis may provide a novel choice in the investigation of drug resistance
lncRNA target	hsa-mir-150	Myocardial Infarction	27649667	LncRNA MIAT enhances cardiac hypertrophy partly through sponging miR-150.
lncRNA target	hsa-mir-1297	"Carcinoma, Gastric"	27651312	"HOXA11-AS/miR-1297/EZH2 cross-talk serve as critical effectors in gastric cancer tumorigenesis and progression, suggesting new therapeutic directions in gastric cancer"
lncRNA target	hsa-mir-9	Osteosarcoma	27658774	Long non-coding RNA TUG1 contributes to tumorigenesis of human osteosarcoma by sponging miR-9-5p and regulating POU2F1 expression.
lncRNA target	hsa-mir-204	"Carcinoma, Esophageal"	27667646	lncRNA-UCA1 enhances cell proliferation through functioning as a ceRNA of Sox4 in esophageal cancer.
lncRNA target	hsa-mir-494	"Carcinoma, Hepatocellular"	27689326	An artificial lncRNA targeting multiple miRNAs overcomes sorafenib resistance in hepatocellular carcinoma cells.
lncRNA target	hsa-mir-140	Glioma	27693036	The lncRNA H19 interacts with miR-140 to modulate glioma growth by targeting iASPP.
lncRNA target	hsa-mir-200c	"Carcinoma, Endometrioid Endometrial"	27693631	Disrupting MALAT1/miR-200c sponge decreases invasion and migration in endometrioid endometrial carcinoma.
lncRNA target	hsa-mir-27b	"Carcinoma, Gastric"	27694794	Long Non-Coding RNA (LncRNA) Urothelial Carcinoma Associated 1 (UCA1) Increases Multi-Drug Resistance of Gastric Cancer via Downregulating miR-27b.
lncRNA target	hsa-mir-125b	Leukemia	27740626	"HOTAIRM1 was revealed to act as a microRNA sponge in a pathway that included miR-20a/106b, miR-125b and their targets ULK1, E2F1 and DRAM2"
lncRNA target	hsa-mir-410	Glioma	27765628	Long non-coding RNA CCAT1 promotes glioma cell proliferation via inhibiting microRNA-410.
lncRNA target	hsa-mir-124	"Carcinoma, Pancreatic"	27785603	Linc-ROR confers gemcitabine resistance to pancreatic cancer cells via inducing autophagy and modulating the miR-124/PTBP1/PKM2 axis.
lncRNA target	hsa-mir-146a	Prostate Neoplasms	27794184	LncRNA PVT1 regulates prostate cancer cell growth by inducing the methylation of miR-146a.
lncRNA target	hsa-mir-195	Osteosarcoma	27813492	Long non-coding RNA PVT1 promotes osteosarcoma development by acting as a molecular sponge to regulate miR-195.
lncRNA target	hsa-mir-200	"Carcinoma, Lung"	27852821	MEG3 regulated the recruitment of JARID2 and EZH2 and histone H3 methylation on the regulatory regions of CDH1 and microRNA-200 family genes for transcriptional repression
lncRNA target	hsa-mir-16	Leukemia	27854515	lncRNA UCA1 Contributes to Imatinib Resistance by Acting as a ceRNA Against miR-16 in Chronic Myeloid Leukemia Cells.
lncRNA target	hsa-mir-32	"Carcinoma, Gastric"	27871067	The lncRNA SNHG5/miR-32 axis regulates gastric cancer cell proliferation and migration by targeting KLF4.
lncRNA target	hsa-mir-107	Glioma	27878295	Silencing of the long non-coding RNA NEAT1 suppresses glioma stem-like properties through modulation of the miR-107/CDK6 pathway.
lncRNA target	hsa-mir-506	"Carcinoma, Pancreatic"	27888106	Long non-coding RNA NEAT1 facilitates pancreatic cancer progression through negative modulation of miR-506-3p.
lncRNA target	hsa-mir-206	"Carcinoma, Lung"	27906963	"RMRP acted as an oncogene LncRNA to promote the expression of KRAS, FMNL2 and SOX9 by inhibiting miR-206 expression in lung cancer"
lncRNA target	hsa-mir-195	"Carcinoma, Hepatocellular"	27932778	Expression of Long Non-Coding RNA (lncRNA) Small Nucleolar RNA Host Gene 1 (SNHG1) Exacerbates Hepatocellular Carcinoma Through Suppressing miR-195.
lncRNA target	hsa-mir-23c	Diabetic Nephropathy	27964927	Long noncoding RNA MALAT1 regulates renal tubular epithelial pyroptosis by modulated miR-23c targeting of ELAVL1 in diabetic nephropathy.
lncRNA target	hsa-mir-183	Melanoma	27966454	Deregulation of miR-183 promotes melanoma development via lncRNA MALAT1 regulation and ITGB1 signal activation.
lncRNA target	hsa-mir-675	Glioma	27981546	"LncRNA H19 is overexpressed in glioma tissue, is negatively associated with patient survival, and promotes tumor growth through its derivative miR-675."
lncRNA target	hsa-mir-101	"Carcinoma, Bladder"	27998761	LncRNA SPRY4-IT1 sponges miR-101-3p to promote proliferation and metastasis of bladder cancer cells through up-regulating EZH2.
lncRNA target	hsa-mir-214	"Carcinoma, Thyroid"	28000845	Long non-coding RNA NEAT1 promotes malignant progression of thyroid carcinoma by regulating miRNA-214.
lncRNA target	hsa-mir-101	"Carcinoma, Breast"	28034643	The long non-coding RNA NEAT1 interacted with miR-101 modulates breast cancer growth by targeting EZH2.
lncRNA target	hsa-mir-15a	"Carcinoma, Hepatocellular"	28035067	"Long non-coding RNA AK058003, as a precursor of miR-15a, interacts with HuR to inhibit the expression of ¦Ã-synuclein in hepatocellular carcinoma cells."
lncRNA target	hsa-mir-9	Breast Neoplasms	28053623	LncRNA Taurine-Upregulated Gene 1 Promotes Cell Proliferation by Inhibiting MicroRNA-9 in MCF-7 Cells.
lncRNA target	hsa-mir-204	Choriocarcinoma	28059437	"Long Non-Coding RNA MALAT1 Interacts With miR-204 to Modulate Human Hilar Cholangiocarcinoma Proliferation, Migration, and Invasion by Targeting CXCR4."
lncRNA target	hsa-mir-205	"Carcinoma, Breast"	28063065	Effects of long noncoding RNA-ROR on tamoxifen resistance of breast cancer cells by regulating microRNA-205.
lncRNA target	hsa-mir-200a	"Leukemia, Myeloid, Chronic"	28069548	HULC could modulate c-Myc and Bcl-2 by miR-200a as an endogenous sponge
lncRNA target	hsa-mir-218	Colorectal Carcinoma	28069878	"the interaction between lncRNA MALAT1 and miR-218 was observed, which further indicated its prognostic value in patients who received standard FOLFOX treatment"
lncRNA target	hsa-let-7	Malignant Neoplasms [unspecific]	28076679	Molecular Dynamics Simulations for Deciphering the Structural Basis of Recognition of Pre-let-7 miRNAs by LIN28.
lncRNA target	hsa-mir-181a	Colorectal Carcinoma	28086904	The lncRNA CRNDE promotes colorectal cancer cell proliferation and chemoresistance via miR-181a-5p-mediated regulation of Wnt/¦Â-catenin signaling.
lncRNA target	hsa-mir-218	Retinoblastoma	28088735	Long non-coding RNA CCAT1 promotes human retinoblastoma SO-RB50 and Y79 cells through negative regulation of miR-218-5p.
lncRNA target	hsa-mir-224	"Squamous Cell Carcinoma, Oral"	28093311	Long non-coding RNA FTH1P3 facilitates oral squamous cell carcinoma progression by acting as a molecular sponge of miR-224-5p to modulate fizzled 5 expression.
lncRNA target	hsa-let-7a	"Carcinoma, Nasopharyngeal"	28117929	Downregulation of lncRNA ANRIL represses tumorigenicity and enhances cisplatin-induced cytotoxicity via regulating microRNA let-7a in nasopharyngeal carcinoma.
lncRNA target	hsa-mir-181a	Glioma	28121023	LncRNA CASC2 Interacts With miR-181a to Modulate Glioma Growth and Resistance to TMZ Through PTEN Pathway.
lncRNA target	hsa-mir-186	"Carcinoma, Gastric"	28122299	The long noncoding RNA PVT1 functions as a competing endogenous RNA by sponging miR-186 in gastric cancer.
lncRNA target	hsa-mir-29b	Liver Cirrhosis	28129115	HOTAIR Epigenetically Modulates PTEN Expression via MicroRNA-29b: A Novel Mechanism in Regulation of Liver Fibrosis.
lncRNA target	hsa-mir-100	"Carcinoma, Colon"	28130225	"Cellular Model of Colon Cancer Progression Reveals Signatures of mRNAs, miRNA, lncRNAs, and Epigenetic Modifications Associated with Metastasis."
lncRNA target	hsa-mir-125b	"Carcinoma, Colon"	28130225	"Cellular Model of Colon Cancer Progression Reveals Signatures of mRNAs, miRNA, lncRNAs, and Epigenetic Modifications Associated with Metastasis."
lncRNA target	hsa-mir-99a	"Carcinoma, Colon"	28130225	"Cellular Model of Colon Cancer Progression Reveals Signatures of mRNAs, miRNA, lncRNAs, and Epigenetic Modifications Associated with Metastasis."
lncRNA target	hsa-mir-182	Glioma	28137422	The lncRNA UCA1 interacts with miR-182 to modulate glioma proliferation and migration by targeting iASPP.
lncRNA target	hsa-mir-101	"Carcinoma, Lung, Non-Small-Cell"	28147312	Upregulated lncRNA SNHG1 contributes to progression of non-small cell lung cancer through inhibition of miR-101-3p and activation of Wnt/¦Â-catenin signaling pathway.
lncRNA target	hsa-mir-34c	Inflammatory Bowel Diseases	28153728	MiR-34c and PlncRNA1 mediated the function of intestinal epithelial barrier by regulating tight junction proteins in inflammatory bowel disease.
lncRNA target	hsa-mir-200a	Colorectal Carcinoma	28164117	The lncRNA H19 Promotes Cell Proliferation by Competitively Binding to miR-200a and Derepressing ¦Â-Catenin Expression in Colorectal Cancer.
lncRNA target	hsa-mir-300	"Carcinoma, Bladder"	28178615	Long non-coding RNA TUG1 promotes cell proliferation and metastasis by negatively regulating miR-300 in gallbladder carcinoma.
lncRNA target	hsa-mir-200	"Carcinoma, Breast"	28187158	Role of the long non-coding RNA PVT1 in the dysregulation of the ceRNA-ceRNA network in human breast cancer.
lncRNA target	hsa-mir-21	Leukemia	28190319	LncRNA MEG3 Regulates Imatinib Resistance in Chronic Myeloid Leukemia via Suppressing MicroRNA-21.
lncRNA target	hsa-mir-17	Non-Traumatic Osteonecrosis	28207735	Long non-coding RNA HOTAIR inhibits miR-17-5p to regulate osteogenic differentiation and proliferation in non-traumatic osteonecrosis of femoral head.
lncRNA target	hsa-mir-211	"Carcinoma, Colon"	28214867	The Novel Long Noncoding RNA TUSC7 Inhibits Proliferation by Sponging MiR-211 in Colorectal Cancer.
